tld,domains_with_dnssec,total_domains,coverage_pct
open,1,2,50.0
drive,0,2,0.0
virgin,1,2,50.0
final,1,2,50.0
fidelity,0,2,0.0
homedepot,1,2,50.0
alipay,1,2,50.0
bharti,1,2,50.0
gbiz,0,2,0.0
obi,1,2,50.0
pars,1,2,50.0
guge,0,2,0.0
hangout,0,2,0.0
bom,1,2,50.0
mormon,1,2,50.0
agakhan,1,2,50.0
juniper,1,2,50.0
dtv,1,2,50.0
accenture,1,2,50.0
kerryhotels,0,2,0.0
kerryproperties,0,2,0.0
ril,1,2,50.0
icbc,1,2,50.0
staples,1,2,50.0
kuokgroup,0,2,0.0
msd,1,2,50.0
lefrak,0,2,0.0
george,1,2,50.0
banamex,1,2,50.0
weibo,1,2,50.0
map,0,2,0.0
fido,1,2,50.0
mitsubishi,0,2,0.0
bofa,1,2,50.0
clinique,1,2,50.0
sling,1,2,50.0
cbre,1,2,50.0
nikon,0,2,0.0
aramco,1,2,50.0
goodyear,1,2,50.0
playstation,0,2,0.0
ott,1,2,50.0
baseball,1,2,50.0
reliance,1,2,50.0
grocery,1,2,50.0
sina,1,2,50.0
lasalle,1,2,50.0
shouji,1,2,50.0
search,0,2,0.0
nowtv,1,2,50.0
shangrila,0,2,0.0
shia,1,2,50.0
kosher,1,2,50.0
nba,1,2,50.0
fedex,1,2,50.0
citadel,1,2,50.0
scholarships,1,2,50.0
stcgroup,0,2,0.0
dot,1,2,50.0
cipriani,1,2,50.0
ubank,0,2,0.0
walmart,1,2,50.0
ibm,1,2,50.0
samsclub,1,2,50.0
viva,0,2,0.0
safety,1,2,50.0
phone,1,2,50.0
lds,1,2,50.0
xn--30rr7y,0,2,0.0
visa,1,2,50.0
norton,1,2,50.0
xn--9et52u,0,2,0.0
xn--cg4bki,0,2,0.0
richardli,1,2,50.0
xn--flw351e,0,2,0.0
hkt,1,2,50.0
gallup,1,2,50.0
xn--55qw42g,1,2,50.0
